Year,Category,Movie,Winner,Presenter,Date & Venue,Speech,year_standard,category_standard,year_count,link
1980 (53rd) Academy Awards,Short Film (Dramatic Live Action),The Dollar Bottom,"Lloyd Phillips, Producer","Alan Arkin, Margot Kidder","March 31, 1981; Dorothy Chandler Pavilion","I'm deeply honored to accept this award on behalf of everybody who worked on the film, and especially on behalf of a very talented director, Roger Christian.  Thank you very much.  And thank you also to Paramount Pictures, Jeff Katzenberg and Ian Scorer for making this film possible.  Thank you.",1980,Short Film (Live Action),1980.17,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=531&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Sound,The Empire Strikes Back,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton","Bernadette Peters, Billy Dee Williams","March 31, 1981; Dorothy Chandler Pavilion","It takes the creative talents of a lot of people to create a soundtrack of the likes of ""The Empire Strikes Back.""  So Steve and Gregg and Peter and I must share these awards tonight with a long list of people, which we will have to skip a few, of course.  Particularly, producers George Lucas and Gary Kurtz, Irvin Kershner, the fabulous Ben Burtt who creates the terrific sound of ""The Empire.""  All of the people at the Samuel Goldwyn sound facility, particularly Don Rogers and John Bonner and Ernie and Dave.  Our special right- and left-hand man, Kevin O'Connell.  My dear Suzy* and Lisa, who somehow tolerate the insanity of all this.  Don Didge [Don Digirolamo] and the guys at the Dolby Labs.  And you, for so honoring us tonight.  Thank you. I'd like to thank the Academy for this. This is my first. I'm very nervous. I would like to thank George Lucas, Gary Kurtz, Ben Burtt and the entire editorial staff that worked behind us. The magic worked on the show. And thank you.
This is quite an honor. Thank you very much.
Thank you very much.
",1980,Sound Mixing,1980.18,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=532&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Writing (Screenplay Based on Material from Another Medium),Ordinary People,Alvin Sargent,Peter Ustinov,"March 31, 1981; Dorothy Chandler Pavilion","Thank you.  I am very proud that you give me this honor and you honor this film which is about all of us trying to understand all of us, a movie that is about terror and despair and pain and all kinds of anxiety, violence, and yet with no bullets, no guns, and no rapes and no homicides.  And I'd like to dedicate this to the actors, and my producer Ron Schwary, and the exquisite taste of my director, and to...there's a little house on a corner in a street in Edina, Minnesota, and there lives Judith Guest.  Thank you.",1980,Writing (Adapted Screenplay),1980.19,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=533&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Writing (Screenplay Written Directly for the Screen),Melvin and Howard,Bo Goldman,Peter Ustinov,"March 31, 1981; Dorothy Chandler Pavilion","I'm so happy.  And please forgive the litany of gratitude but movies are made on faith and the studio's money.  I'd like to thank my friend Ned Tanen for his deep pockets, Jonathan Demme for his good eye, Art Linson and Don Phillips for steering me to Gabbs, Nevada, and Melvin Howard [sic] for sharing his life.  Tonight I'm here for ""Melvin and Howard"" but there are years in between for me and for all writers when there are no awards.  So tonight I'd like to mention some men who've taught me a lot and whom I love:  Phil Kaufman, Alan Parker, Mike Nichols and Milos Forman. May I share this honor with my agent Arnold Stiefel, and my wife Mab Ashforth who urged me to write this movie, and I'm so glad I did. Thank you, members of the Academy.
",1980,Writing (Original Screenplay),1980.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=534&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Special Achievement Award (Visual Effects),The Empire Strikes Back,"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson",Jack Valenti,"March 31, 1981; Dorothy Chandler Pavilion","Thank you.  First I must thank George Lucas and Gary Kurtz who gave us the opportunity to work on these great films.  Also my colleagues Jim Bloom, Joe Johnston, Ralph McQuarrie and Harrison Ellenshaw.  Of course my family and crew.  Thank you very much. I'd like to thank the English effects crew and ILM. And I'd like to thank Gary Kurtz, George Lucas, Irvin Kershner, my two daughters, Claire and Lucy-Kate, and my wife Jennie. Thanks very much.
And I'd like to thank my mom, and Jon Berg and Phil Tippett, and Ken and all the camera department. Thank you.
I'd like to thank a great special effects crew and in particular the optical department who I worked so closely with. To my wife, family and friends, for their support throughout the project. And to the Force, for allowing me to be here tonight to receive this award.
",1980,Honorary Award,1980.21,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=535&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Honorary Award,No title.,"To Henry Fonda, the consummate actor, in recognition of his brilliant accomplishments and enduring contribution to the art of motion pictures.",Robert Redford,"March 31, 1981; Dorothy Chandler Pavilion","Thank you, Robert.  Thank you.  When I realize, and I really have to remind myself that I've been working in films for forty-six years, I feel I'm a very, very lucky man.  Not just because I survived but because over the years I've had the opportunity to work with some of the best producers, best directors, best writers, best actors in motion pictures.  It's been a very rewarding forty-six years for me and this has got to be the climax.  I'm very proud and very grateful to the governors of the Academy.  Thank you very much.",1980,Honorary Award,1980.22,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=536&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1980 (53rd) Academy Awards,Scientific or Technical Award (Academy Award of Merit),No title.,"To LINWOOD G. DUNN, CECIL D. LOVE and ACME TOOL AND MANUFACTURING COMPANY for the concept, engineering and development of the Acme-Dunn Optical Printer for motion picture special effects. (Edward Furer accepted for Acme Tool and Manufacturing Co.)",Lily Tomlin,"March 31, 1981; Dorothy Chandler Pavilion","My associates and I wish to express our very, very heartfelt appreciation for this great honor and particularly to the Academy's Scientific Award Committee and to the Board of Governors for conferring it.  It is a great honor and we love it and we certainly appreciate everything that goes with it.  Thank you very much. Thank you.
",1980,Honorary Award,1980.23,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=537&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Actor in a Leading Role,On Golden Pond,"Henry Fonda (not present; accepted by his daughter, Jane Fonda)",Sissy Spacek,"March 29, 1982; Dorothy Chandler Pavilion","Oh, Dad, I'm so happy and proud for you.  My father didn't really believe that this was going to happen but he told me a while back that if it did he wanted his wife Shirlee to accept the award for him.  But Shirlee wanted to be with him tonight, as is her way, and so I'm here. And first and foremost I want to thank on behalf of my father the members of the Academy who voted to give him this award. I know that he's watching right now and I know that he's very, very honored and very happy and surprised. And I'll bet when he heard it just now, I bet he said, ""Hey, ain't I lucky?"" As though luck had anything to do with it. I know also that he has tremendous respect for the other actors that were nominated and has always felt a little strange about these things, these competitions, because it's like comparing apples and oranges, and he feels very proud to have been among such a wonderful group.
And I know that he feels that he would never have won this if it hadn't been for Katharine Hepburn. And if ""On Golden Pond"" is one of the highlights of his life, one of the main reasons is because of her, having the chance to work with her and to become her friend. And I know that one of the other reasons that he feels the film was so special is because of the quality of the crew. Every one of them, many of whose talents have been recognized tonight in the nominations. And the wonderful cast: Dougie McKeon, Dabney Coleman, Bill Lanteau, me„he's a proud father. The man who pulled us all together, our producer Bruce Gilbert. He is, my father is so happy, he feels so fortunate to have been able to play the role of ""Norman Thayer,"" a character that he loves a lot and understands very well. And for this he'd like to thank the sensitive man who wrote the words, who's already been honored tonight, Ernest Thompson. And for the tremendous talent and guidance of our director Mark Rydell, he's very, very grateful. We all became like a family during the filming and we sort of stayed together since. People call him up and stay in touch and come to visit him, and so it's like we've stayed a family, and it's made my father very, very happy. And he wants to thank Marble Arch and Universal for their support of the movie ""On Golden Pond.""
He also feels very lucky to have been able to spend a summer in such a beautiful part of our country, northern New Hampshire, and he wants to thank all the people there who were so friendly and welcoming to us. And he was very happy, and so was I and are we, to have had our two families together, the Haydens and the Fondas, on the beautiful shores of that lake so that we could get to know each other even more. He wishes my brother Peter were here tonight, but Peter is somewhere in the jungles of the Philippines in front of a camera right now, like a good Fonda. And I know that lastly, but really first, he is thanking Shirlee Fonda who has been his loving support for seventeen years, who he calls his Rock of Gibralter. I think she's his ""Ethel Thayer."" Dad, me and all the grandchildren are coming over with it right away. Thank you.",1981,Actor in a Leading Role,1981.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=538&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Actor in a Supporting Role,Arthur,John Gielgud (not present; accepted by presenters),"Joel Grey, Carol Burnett","March 29, 1982; Dorothy Chandler Pavilion",Winner not present.,1981,Actor in a Supporting Role,1981.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=539&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Actress in a Leading Role,On Golden Pond,Katharine Hepburn (not present; accepted by presenter),Jon Voight,"March 29, 1982; Dorothy Chandler Pavilion",Winner not present.,1981,Actress in a Leading Role,1981.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=540&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Actress in a Supporting Role,Reds,Maureen Stapleton,Timothy Hutton,"March 29, 1982; Dorothy Chandler Pavilion","Thank you.  Thank you.  I'm thrilled, happy, delighted... sober.  I am very happy to win.  I was happy to be with my co-nominees.  The pleasure of their company was lovely.  And it is an evening for thanking.  I'm sorry, I'll try to make it brief.  Warren, thank you.  Diane, the cast, the always great crew of every show you're on.  I want to thank Troy, New York, and my children, my family, my friends, and everybody I ever met in my entire life.  And my inspiration, Joel McCrea.  Thank you.",1981,Actress in a Supporting Role,1981.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=541&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Art Direction,Raiders of the Lost Ark,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford (Ford not present)","Karen Allen, Howard E. Rollins, Jr.","March 29, 1982; Dorothy Chandler Pavilion","I was dreading the moment of actually having to say something but it's arrived and... I'd like to thank my art department who aren't here tonight, and the construction people who backed me 100 percent.  And also George Lucas, for actually suggesting to Steven that I did the picture.  And even more so, Steven, for actually agreeing to that suggestion.  And thank you very much. I'd just like to say thank you very much to the Academy and to everybody who made it possible for this to happen. Thank you.
",1981,Art Direction,1981.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=542&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Cinematography,Reds,Vittorio Storaro,"Rachel Ward, Chevy Chase","March 29, 1982; Dorothy Chandler Pavilion","
",1981,Cinematography,1981.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=543&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Costume Design,Chariots of Fire,Milena Canonero,"Morgan Fairchild, Robert Hays","March 29, 1982; Dorothy Chandler Pavilion","Well, I'm very happy to be here.  Thank you very much and I want to thank Hugh Hudson, David Puttnam, Marshall Bell.  And I also like to pay homage to my other colleagues:  Shirley Russell, Tom Rand, Anna Hill Johnstone, Bob Mackie, because I think they are all marvelous.  But I've got it.",1981,Costume Design,1981.7,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=544&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Directing,Reds,Warren Beatty,"Jack Lemmon, Walter Matthau","March 29, 1982; Dorothy Chandler Pavilion","Thank you.  Miss Keaton, I know that public expressions like this can be embarrassing sometimes and that my chances of speaking with you privately later are at the moment excellent.  I do want to tell you that you make every director that you work with look good, and I think that what they're trying to tell me here tonight, thank God, is that I'm no exception.  Mr. Nicholson, I know that you're enjoying my being up here almost as much as I am in being here. I know I do one thing well, I get good people: Elaine May, Peter Feibleman, Jeremy Pikser, Robert Towne, Simon Relph, Zelda Barron, Richie Cirincione, Steve Sondheim, Dave Grusin, David MacLeod, so many, many more among whom are the people that you've nominated here tonight and happily saved me from having to remember to name fourteen more names. I do want to name Mr. Barry Diller who runs Paramount, Mr. Dick Zimbert who's been very kind to me, Mr. Frank Mancuso, and Mr. Charles Bluhdorn who runs Gulf + Western and God knows what else. And I want to say to you gentlemen that no matter how much we might have liked to have strangled each other from time to time, I think that your decision, taken in the great capitalistic tower of Gulf + Western, to finance a three-and-a-half hour romance which attempts to reveal for the first time just something of the beginnings of American socialism and American communism, reflects credit not only upon you, I think it reflects credit upon Hollywood and the movie business wherever that is. And I think that it reflects more particular credit on the freedom of expression that we have in our American society and the lack of censorship that we have from the government or the people who put up the money. Thanks.",1981,Directing,1981.8,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=545&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Documentary (Feature),Genocide,"Arnold Schwartzman and Rabbi Marvin Hier, Producers","Richard Benjamin, Paula Prentiss","March 29, 1982; Dorothy Chandler Pavilion","Well, I'd like to thank the members of the Academy.  The Board of Trustees at the Simon Wiesenthal Center and its Dean, Rabbi Marvin Hier, for giving me the opportunity of making this film.  To Elizabeth Taylor and Orson Welles, for their wonderful narration.  Mr. Simon Wiesenthal, for his marvelous help and advice during the production.  Elmer Bernstein, for a wonderful score.  Martin Gilbert.  There are so many people, including my wife Isolde who did research with me on the film.  Peter Shillingford, Roy Watts, Bob Jenkis... I just can't remember any more but there were so many people.  I thank you very much. Thank you. I just want to add my special thanks to the Board of Trustees of the Simon Wiesenthal Center of Yeshiva University of Los Angeles for making this film possible, and for Simon Wiesenthal who stood alone all these years so that the world would not forget. This film is dedicated to the memory of the victims of the Holocaust. They have no graves, but their memory will live to the end of time. Thank you.
",1981,Documentary (Feature),1981.9,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=546&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Documentary (Short Subject),Close Harmony,"Nigel Noble, Producer","Richard Benjamin, Paula Prentiss","March 29, 1982; Dorothy Chandler Pavilion","When the limousine pulled up in front of the theater my son said, ""You mean I have to get out in front of all those people.""  I feel exactly the same way. I would like to thank the Academy for this honor. I also would like to thank the children of Brooklyn Friends School, the senior citizens of the Council Center for Senior Citizens in Brooklyn, and a dynamic music teacher who brought these two groups together, Arlene Symons. My crew: Ken Van Sickle, Kit Whitmore, Steve Gerbson, Tom Houghton, Maggi Travis; wonderful, wonderful people who devoted themselves to the film. And Joan Morris, who did a tremendous job editing the film; in China now, the American film industry needs her back. And I would like to thank Ruth Corkstein* and Lee Barry* for their support. I would like to thank the National Council of Jewish Women, Brooklyn Section, who made this film possible. My wife Jane, for suggesting the idea. And my cheering section in the balcony: David, Benjamin and Zachary. Thank you very much.",1981,Documentary (Short Subject),1981.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=547&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Film Editing,Raiders of the Lost Ark,Michael Kahn,"Harry Hamlin, Ursula Andress","March 29, 1982; Dorothy Chandler Pavilion","I wish to thank the Academy members for giving me one of the great, greatest experiences of my life.  And what a marvelous opportunity it was to work on the same film together with Steven Spielberg and George Lucas.  I'm especially grateful to Steven for making me part of his team and giving me such superb film to work with, and to George Lucas for his very special help and warm friendly support.  My thanks to Frank Marshall, our producer, and our executive producer Howard Kazanjian, and to my terrific English and Hollywood assistants, and of course to my patient family.  Finally, I'm extremely happy that the editing contribution on ""Raiders"" has played an important part in your enjoyment of the movie.  Thank you for this wonderful honor.",1981,Film Editing,1981.11,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=548&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Foreign Language Film,Mephisto,Hungary (accepted by director Istv’n Szab’_; accompanied on stage by actor Klaus Maria Brandauer),"Jack Valenti, Ornella Muti","March 29, 1982; Dorothy Chandler Pavilion","Ladies and gentlemen, thank you very much for this marvelous things. And thank for Mr. Klaus Maria Brandauer, Austrian actor. Klaus, come with me I am so alone here. [Klaus Maria Brandauer joins him on stage.] And many thanks to the marvelous cinematographer, Hungarian cinematographer, Mr. Koltai. And for the screenplay, Mr. Dobai. And Miss Csàkàny, cutter editor. And Mr. Marx, producer, and Mr. Manfred Durniok, producer, and Mr. ”vàri. And my family. And Miss Karin Brandauer and Miss Vera Gyurey SzabÑ. Thank you very much.",1981,Foreign Language Film,1981.12,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=549&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Makeup,An American Werewolf in London,Rick Baker,"Vincent Price, Kim Hunter","March 29, 1982; Dorothy Chandler Pavilion","Well, first of all I'd like to thank the Academy for creating this new category, and I'm very proud to be the first winner.  I'd like to thank John Landis and George Folsey for making the film.  David Naughton and Griffin Dunne, for their cooperation.  I'd like to thank my crewŠ—–Doug Beswick, Tom Hester, Steve Johnson, Shawn McEnroe, Bill Sturgeon, Kevin Brennan, and Elaine BakerŠ—–for working so hard and doing such a great job.  I'd like to thank my parents, Doris and Ralph Baker, for their love and support. And last but not least, I'd like to thank a man who's been a real inspiration to me: Dick Smith. For all that Dick has contributed to the art of makeup... [applause.] Thank you. For all that Dick has contributed to the art of makeup, he deserves an Academy Award more than any makeup artist I know. Thank you.",1981,Makeup,1981.13,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=550&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1981 (54th) Academy Awards,Music (Original Score),Chariots of Fire,Vangelis (not present; accepted by presenters),"Kathleen Turner, William Hurt","March 29, 1982; Dorothy Chandler Pavilion",Winner not present.,1981,Music (Original Score),1981.14,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=551&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
